class,alias,section,option,units,default,dependencies
mvMax5.demand.EducationFacilityUnitDemandPerEducationFacilityPerYear,ed_dc_unit,demand (social infrastructure),education facility unit demand per education facility per year,kilowatt-hours per year,0,
mvMax5.demand.ProjectedEducationFacilityCount,p_ed,demand (social infrastructure),projected education facility count,education facility count,None,mvMax5.demand.EducationFacilityCountCurve;mvMax5.demographics.ProjectedPopulationCount
mvMax5.demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear,co_dc_unit,demand (social infrastructure),commercial facility unit demand per commercial facility per year,kilowatt-hours per year,0,
mvMax5.demand.ProjectedCommercialFacilityCount,p_co,demand (social infrastructure),projected commercial facility count,commercial facility count,None,mvMax5.demand.CommercialFacilityCountCurve;mvMax5.demographics.ProjectedPopulationCount
mvMax5.demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear,li_dc_unit,demand (social infrastructure),public lighting facility unit demand per public lighting facility per year,kilowatt-hours per year,0,
mvMax5.demand.ProjectedPublicLightingFacilityCount,p_li,demand (social infrastructure),projected public lighting facility count,public lighting facility count,None,mvMax5.demand.PublicLightingFacilityCountCurve;mvMax5.demographics.ProjectedPopulationCount
mvMax5.costOffGrid.PhotovoltaicPanelCost,og_pp_ini,system (off-grid),photovoltaic panel cost,dollars,None,mvMax5.costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt;mvMax5.costOffGrid.PhotovoltaicPanelActualSystemCapacity
mvMax5.costOffGrid.PhotovoltaicBatteryCost,og_pb_ini,system (off-grid),photovoltaic battery cost,dollars,None,mvMax5.costOffGrid.PhotovoltaicBatteryCostPerKilowattHour;mvMax5.costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt;mvMax5.costOffGrid.PhotovoltaicPanelActualSystemCapacity
mvMax5.costOffGrid.PhotovoltaicBalanceCost,og_px_ini,system (off-grid),photovoltaic balance cost,dollars,None,mvMax5.costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost;mvMax5.costOffGrid.PhotovoltaicPanelCost
mvMax5.costOffGrid.DieselGeneratorCost,og_dg_ini,system (off-grid),diesel generator cost,dollars,None,mvMax5.costOffGrid.DieselGeneratorCostPerDieselSystemKilowatt;mvMax5.costOffGrid.DieselGeneratorActualSystemCapacity
mvMax5.costOffGrid.DieselGeneratorInstallationCost,og_dg_i,system (off-grid),diesel generator installation cost,dollars,None,mvMax5.costOffGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost;mvMax5.costOffGrid.DieselGeneratorCost
mvMax5.costOffGrid.PhotovoltaicPanelReplacementCostPerYear,og_pp_rep,system (off-grid),photovoltaic panel replacement cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicPanelCost;mvMax5.costOffGrid.PhotovoltaicPanelLifetime
mvMax5.costOffGrid.PhotovoltaicBatteryReplacementCostPerYear,og_pb_rep,system (off-grid),photovoltaic battery replacement cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicBatteryCost;mvMax5.costOffGrid.PhotovoltaicBatteryLifetime
mvMax5.costOffGrid.PhotovoltaicBalanceReplacementCostPerYear,og_px_rep,system (off-grid),photovoltaic balance replacement cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicBalanceCost;mvMax5.costOffGrid.PhotovoltaicBalanceLifetime
mvMax5.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear,og_p_om,system (off-grid),photovoltaic component operations and maintenance cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost;mvMax5.costOffGrid.PhotovoltaicComponentInitialCost
mvMax5.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear,og_dg_om,system (off-grid),diesel generator operations and maintenance cost per year,dollars per year,None,mvMax5.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost;mvMax5.costOffGrid.DieselGeneratorCost
mvMax5.costOffGrid.DieselGeneratorReplacementCostPerYear,og_dg_rep,system (off-grid),diesel generator replacement cost per year,dollars per year,None,mvMax5.costOffGrid.DieselGeneratorCost;mvMax5.costOffGrid.DieselGeneratorLifetime
mvMax5.costOffGrid.DieselFuelCostPerYear,og_fl,system (off-grid),diesel fuel cost per year,dollars per year,None,mvMax5.costOffGrid.DieselFuelCostPerLiter;mvMax5.costOffGrid.DieselFuelLitersConsumedPerKilowattHour;mvMax5.costOffGrid.DieselGeneratorActualSystemCapacity;mvMax5.costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
mvMax5.costMiniGrid.GeneratorCostPerRatedKilowatt,mg_dg_ck,system (mini-grid),power generation cost per system kilowatt,dollars per kilowatt,150,
mvMax5.costMiniGrid.GeneratorActualSystemCapacity,mg_dg_acp,system (mini-grid),power generation actual system capacity,kilowatts,None,mvMax5.costMiniGrid.GeneratorAvailableSystemCapacities;mvMax5.costMiniGrid.GeneratorActualSystemCapacityCounts
mvMax5.costMiniGrid.InstallationCostAsFractionOfGenerationCost,mg_ic_fgc,system (mini-grid),power generation installation cost as fraction of generation cost,fraction,0.25,
mvMax5.costDistribution.LowVoltageLineEquipmentCostPerConnection,di_le_cc,distribution,low voltage line equipment cost per connection,dollars per connection,200,
mvMax5.costDistribution.LowVoltageLineLength,di_ll_len,distribution,low voltage line length,meters,None,mvMax5.demographics.MeanInterhouseholdDistance;mvMax5.demand.TargetHouseholdCount
mvMax5.costDistribution.LowVoltageLineCostPerMeter,di_ll_cm,distribution,low voltage line cost per meter,dollars per meter,10,
mvMax5.costMiniGrid.GeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost,mg_dg_omf,system (mini-grid),power generation operations and maintenance cost per year as fraction of generator cost,,0.01,
mvMax5.costMiniGrid.GeneratorLifetime,mg_dg_life,system (mini-grid),power generation system lifetime,years,5,
mvMax5.costMiniGrid.FuelCostPerKilowattHour,mg_fl_cl,system (mini-grid),fuel or storage cost per kWh,dollars per kWh,0.54,
mvMax5.costMiniGrid.PercentOfKilowattHourRequiringFuelOrStorage,mg_fl_lkwh,system (mini-grid),percent of daily load that requires storage or fuel,percent,1.0,
mvMax5.costMiniGrid.DistributionLoss,mg_loss,system (mini-grid),distribution loss,fraction,0.1,
mvMax5.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost,di_le_omf,distribution,low voltage line equipment operations and maintenance cost as fraction of equipment cost,,0.01,
mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear,di_ll_om,distribution,low voltage line operations and maintenance cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax5.costDistribution.LowVoltageLineCostPerMeter;mvMax5.costDistribution.LowVoltageLineLength
mvMax5.costDistribution.LowVoltageLineReplacementCostPerYear,di_ll_rep,distribution,low voltage line replacement cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineInitialCost;mvMax5.costDistribution.LowVoltageLineLifetime
mvMax5.costGrid.GridInstallationCostPerConnection,gr_i_cc,system (grid),installation cost per connection,dollars per connection,130,
mvMax5.costGrid.GridInternalConnectionCount,gr_ic,system (grid),internal connection count,connection count,None,mvMax5.demand.TargetHouseholdCount;mvMax5.costGrid.GridSocialInfrastructureCount
mvMax5.costGrid.GridTransformerCostPerGridSystemKilowatt,gr_tr_ckw,system (grid),transformer cost per grid system kilowatt,dollars per kilowatt,1000,
mvMax5.costGrid.GridTransformerActualSystemCapacity,gr_tr_acp,system (grid),grid transformer actual system capacity,kilowatts,None,mvMax5.costGrid.GridTransformerAvailableSystemCapacities;mvMax5.costGrid.GridTransformerActualSystemCapacityCounts
mvMax5.costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost,gr_tr_omf,system (grid),transformer operations and maintenance cost per year as fraction of transformer cost,,0.03,
mvMax5.costGrid.GridTransformerLifetime,gr_tr_life,system (grid),transformer lifetime,years,10,
mvMax5.costGrid.GridElectricityCostPerKilowattHour,gr_el_ckwh,system (grid),electricity cost per kilowatt-hour,dollars per kilowatt-hour,0.17,
mvMax5.costGrid.DistributionLoss,gr_loss,system (grid),distribution loss,fraction,0.15,
mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear,gr_ml_omm,system (grid),medium voltage line operations and maintenace cost per meter per year,dollars per meter per year,None,mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax5.costGrid.GridMediumVoltageLineCostPerMeter
mvMax5.costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear,gr_ml_repm,system (grid),medium voltage line replacement cost per meter per year,dollars per meter per year,None,mvMax5.costGrid.GridMediumVoltageLineCostPerMeter;mvMax5.costGrid.GridMediumVoltageLineLifetime
mvMax5.finance.ElectricityDemandGrowthRatePerYear,dem_g,finance,electricity demand growth rate per year,fraction per year,None,mvMax5.finance.ElasticityOfElectricityDemand;mvMax5.finance.EconomicGrowthRatePerYear
mvMax5.demand.HouseholdDemandCurveType,ho_dc_t,demand (household),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.HouseholdDemandCurvePoints,ho_dc_pts,demand (household),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.56; 5000 6.16; 10000 11.5,
mvMax5.demographics.ProjectedPopulationCounts,p_pops,demographics,projected population counts,person count list,None,mvMax5.demographics.PopulationCount;mvMax5.demographics.RuralPopulationGrowthRatePerYear;mvMax5.demographics.UrbanPopulationGrowthRatePerYear;mvMax5.demographics.UrbanPopulationThreshold;mvMax5.finance.TimeHorizon
mvMax5.demand.TargetHouseholdPenetrationRate,tgt_ho_prt,demand (household),target household penetration rate,,1,
mvMax5.demographics.ProjectedHouseholdCount,p_ho,demographics,projected household count,household count,None,mvMax5.demographics.ProjectedPopulationCount;mvMax5.demographics.MeanHouseholdSize
mvMax5.demand.ProductiveDemandCurveType,pr_dc_t,demand (productive),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.ProductiveDemandCurvePoints,pr_dc_pts,demand (productive),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 3.06; 5000 3.57; 10000 5.10,
mvMax5.demand.SocialInfrastructureDemandCurveType,so_dc_t,demand (social infrastructure),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.SocialInfrastructureDemandCurvePoints,so_dc_pts,demand (social infrastructure),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.5; 5000 2.25; 10000 3.375,
mvMax5.demand.HealthFacilityCountCurve,he_cc,demand (social infrastructure),health facility count curve,,None,mvMax5.demand.HealthFacilityCountCurveType;mvMax5.demand.HealthFacilityCountCurvePoints
mvMax5.demand.EducationFacilityCountCurve,ed_cc,demand (social infrastructure),education facility count curve,,None,mvMax5.demand.EducationFacilityCountCurveType;mvMax5.demand.EducationFacilityCountCurvePoints
mvMax5.demand.CommercialFacilityCountCurve,co_cc,demand (social infrastructure),commercial facility count curve,,None,mvMax5.demand.CommercialFacilityCountCurveType;mvMax5.demand.CommercialFacilityCountCurvePoints
